thscode,2023-11-15,2023-11-16,2023-11-17,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15
000001.SZ,1152154780.34,948395097.33,917616681.28,650077370.01,1072311504.28,753064757.94,855904311.98,691423444.34,836268368.75,784405804.65,1438320264.11,871481712.43,749668363.85,583664338.41,750961219.91,714029468.7,552224831.17,957664580.59,1044765734.9,805067628.46,981001231.48,683211465.8,915126127.17
000002.SZ,1137288346.46,734010177.08,743393458.07,666897105.6,2425684207.41,1504457957.98,1864830412.75,1306244381.55,1175277162.49,572670875.78,909376431.88,445595911.33,757220170.48,786401468.3,1038468876.34,667358267.77,493444986.11,532459094.23,863644979.63,1243910063.22,927587527.67,647778487.77,946999075.79
000004.SZ,385021762.03,227037384.14,182410308.0,289102984.0,230754364.05,138344966.3,327995248.1,194327946.11,123823433.06,131071104.0,100120966.0,93007961.39,159588846.4,145982304.0,108465429.8,103581258.9,86533535.0,94252234.37,74144793.73,132552232.01,81132953.59,78668014.34,68313024.0
000005.SZ,7209883.8,10246471.0,7741163.4,16452118.23,11045879.0,11827547.0,11297120.0,8812007.04,11672578.37,4671059.4,5592508.39,4411870.0,3400509.0,6821253.0,5484208.8,5098298.0,7078776.8,6404710.68,1733654.0,4739652.0,36804028.05,23570299.0,46799462.42
000006.SZ,71136872.9,71957806.13,54165453.0,62365452.0,233138102.23,119007923.58,866814307.61,501524675.07,311750721.82,185699288.41,163948275.0,217483046.42,153429571.49,122236832.1,134100339.47,269944471.76,278443231.31,172195872.0,128786284.35,196805946.55,128022318.04,181963970.49,163008976.33
000007.SZ,5336334.6,4904704.0,4797399.0,5183329.24,6834887.35,4743337.0,4759553.0,4361828.0,7288568.0,1864812.0,2478532.0,23079140.05,21136090.68,11065705.5,4855490.32,3406361.0,4973338.89,3885653.0,4824485.0,4063606.0,16824244.0,4721459.0,4733156.0
000008.SZ,42246223.6,36012006.04,42391671.71,52624918.0,92438413.52,60416231.0,67682104.48,67506357.48,56058346.93,84286837.0,84888482.0,77521342.05,66750443.47,57238017.04,76118508.0,60644973.0,49928929.46,77974623.0,55989099.0,72982750.68,91505904.49,62120554.0,56919052.0
000009.SZ,362208697.66,219027352.46,374535880.01,217008752.28,162074402.07,240571383.05,319706889.29,155988287.85,191535714.07,160438098.37,180223621.24,149256344.95,251351894.87,208523379.22,155520649.27,189374421.09,168599518.05,260088090.77,211889447.2,112042981.7,149211037.35,170251951.61,162522955.62
000010.SZ,237951464.87,137375050.87,123953207.0,131735824.0,166952881.36,159106141.0,89086835.0,103052265.0,125472292.0,107399251.8,71950394.0,72484964.99,84099942.44,63493828.0,49305829.0,50265232.0,49674555.66,74946373.04,42207221.6,39084309.8,38513866.0,46136407.0,32113017.0
000011.SZ,28477847.0,26359728.0,24170467.6,27020816.0,109135448.22,240380585.09,186135272.09,96113528.44,80165493.66,50509925.0,43403551.0,32171104.0,28793404.59,29476003.0,33131216.0,40348907.0,41511818.35,52936364.95,43597830.76,55168007.0,33303071.18,38212999.34,52935239.04
000012.SZ,89005550.17,66454772.15,43327785.03,53627535.04,64130066.97,55511701.29,50484440.3,53664607.06,75463884.77,70633404.0,55743585.75,76591811.77,59735236.58,52385803.74,54398339.02,47045939.68,72275304.3,139124831.21,114259181.1,43196388.29,35746983.39,33569442.84,42266696.03
000014.SZ,104989273.41,84140579.95,60487880.68,70167508.0,211645811.8,437939622.53,281847306.79,182438441.0,142316864.68,91476763.9,88722989.6,61901244.0,65553160.4,63113702.76,56136049.85,69066102.1,111568200.4,113852778.68,79115694.4,262187717.72,152226916.6,371326078.67,238808196.01
000016.SZ,44995685.0,30781223.0,35283689.7,42596790.28,44752900.7,40436916.57,44061734.0,51206540.52,36838879.72,38261907.0,36752881.0,37433038.0,40251264.0,35921461.04,40073391.0,35138568.0,36979332.6,37273177.42,46132990.48,30479455.8,38163786.11,34524316.4,29490615.92
000017.SZ,14630037.0,14838691.0,16426966.0,18795802.54,15494171.96,31788300.15,27387411.77,17970224.5,19949741.02,15647598.0,27464587.06,20989273.0,16154063.0,17823548.13,16996197.7,24007383.0,25334058.0,27267848.0,31779992.0,32732832.0,25291050.43,27086544.53,18680454.0
000019.SZ,24945379.5,22730867.82,18142427.4,22009436.19,26185927.0,55209269.1,48395846.1,46535924.2,50366615.28,44172619.4,50321601.8,43893696.56,42950799.5,41896092.95,46165197.1,53202366.31,44294608.12,57988697.44,37933006.8,32035958.0,25004631.3,72945997.48,85567212.76
000020.SZ,16112652.75,17468426.0,22720618.31,22443046.0,21466743.36,21294596.28,22195112.58,30429679.0,35026833.0,55618935.45,44987533.0,43498567.0,31950661.54,36363541.64,31471375.79,31458152.44,27702662.0,24630749.0,37846681.1,19511791.0,22819821.0,34911813.32,25007256.59
000021.SZ,1374841916.46,731391141.28,740450350.86,1362797948.03,1064621797.61,650034718.87,528989515.36,507139823.93,412980308.33,361452464.42,1999641147.32,995350938.26,697622015.76,984819814.31,658795682.74,457075265.31,373082485.53,856637955.47,619509251.87,565837054.59,361289704.43,413293854.1,364493986.49
000023.SZ,4080523.32,2276894.32,3400118.0,9046803.6,13232502.27,22202088.34,9187730.0,8077205.0,5755650.0,2869554.0,6492609.0,8981571.0,6318735.0,3984094.15,3265345.0,5175227.0,5342778.76,8295719.0,8241610.0,6518259.0,8730569.0,12309283.0,9382058.8
000025.SZ,84632059.15,185786095.92,105394497.67,79739379.66,101352923.79,276112235.03,160260011.12,102129763.62,74110436.7,90116569.51,65463494.0,69668448.89,64619194.17,62565831.5,70717560.48,53309981.88,51228386.91,67939347.04,41308586.64,64696129.49,68338122.53,66837753.65,54606730.67
000026.SZ,97394833.33,151157072.0,83606213.5,78603618.0,64382500.79,49018201.0,50551378.0,54366053.0,42035416.0,47141012.12,70899116.36,63944589.0,59970436.0,50802629.0,32425519.0,41080889.0,38810180.36,48774855.0,37275521.0,40972902.0,33847860.28,44327719.48,34703777.0
000027.SZ,62974913.12,51688499.78,77362916.56,72086310.46,86848479.7,63333779.46,229913369.07,172211695.42,105583166.32,83620873.59,64248466.84,65308095.64,68205993.16,63319537.87,60475330.62,67876537.18,60176540.76,96483224.2,140019403.07,93523072.26,82415029.99,90853876.1,74077131.9
000028.SZ,531571482.81,405664490.41,229145833.52,277200843.19,201184489.65,187702575.22,134345073.22,189325114.97,163991920.3,134539748.99,100924241.48,158078407.06,122545451.99,218143913.96,138910295.1,165970236.36,104097059.1,116322235.22,139161233.82,117730104.53,147432952.51,114905237.1,94031708.3
000029.SZ,57783873.0,76567260.72,70437640.63,62940881.0,94889211.58,467476973.53,360286740.57,147111676.56,110607876.65,71654629.09,65874319.27,105243087.54,85029972.83,67556782.2,49668843.0,34217338.0,53765854.53,45629178.07,51198296.08,52932179.96,29530270.0,42838327.69,84232872.21
000030.SZ,60804889.55,401043446.26,447723556.4,328670641.49,198161748.18,130674647.3,116937468.9,137557310.57,136451667.43,203024750.81,247077498.95,138512035.08,90206073.62,72673949.31,63651904.12,56792866.2,64663520.37,61725962.32,66240656.91,47363444.0,45321691.7,41455473.4,41860113.29
000031.SZ,64200740.45,54548305.0,75097456.16,43169777.26,108113524.69,118848378.71,117826718.77,88629241.02,89541345.88,58903298.0,53326145.78,51155202.44,45859409.76,80532145.64,42529231.0,42310748.16,43626717.09,48392202.6,56549298.0,58973616.93,33420594.53,32735995.18,66647616.3
000032.SZ,937904745.65,461791440.9,339544117.47,501570421.34,437905068.4,1132615592.36,842686064.15,611754500.29,932398951.83,646696121.91,360012480.72,243690298.99,376336783.01,892103712.32,1650108396.57,798475273.47,846627981.4,1028663150.8,1518598012.55,855954590.18,1009001199.77,1222380319.16,1307341621.36
000034.SZ,2037687288.15,2168260019.83,1545374515.71,1608720222.12,1522721367.89,948324211.08,1037937646.96,1188555052.85,649006359.28,515480518.43,560939071.49,605436218.79,921774961.27,982137213.55,798376174.73,405570674.75,507799611.27,892557773.7,564086752.49,564187418.1,671158706.72,427878665.21,458889638.52
